Name,Discount_price,Old_price,Rating_stars
"Nexus 32"" Inches FHD TV (H620B(SA) - Black + 2 Years Warranty","₦ 129,878","₦ 139,619",4.2
Hikers 32'' Frameless Android Smart HD LED TV - Black + 1 Year Warranty,"₦ 149,999","₦ 190,000",4.1
Hikers 42'' Inch Frameless Android Smart FHD LED TV - Black - One Year,"₦ 239,500","₦ 266,017",4.1
itel 32 Inches LED TV (A3250) + 1 year Warranty,"₦ 98,500","₦ 109,064",3.9
Mi+ 32 inches LED Tv (MI32DF1A) - Black + 1 Year Warranty,"₦ 93,500","₦ 100,513",3.9
Royal 43” inches Smart LED TV (RTV43G7W) - Black + 1 year warranty,"₦ 230,000","₦ 245,000",4.3
Hikers 43'' Frameless FHD LED TV - Black,"₦ 212,900","₦ 239,849",4.1
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black-One Year Warranty,"₦ 254,900","₦ 409,258",4.4
TCL 55″ Inch LED UHD 4K Google TV (55P635),"₦ 524,700","₦ 564,053",4.7
Royal 50 Inches 4k UHD Google TV (RTV50GT8W) + 1 Year Warranty,"₦ 410,000","₦ 453,973",4.4
Hikers 55'' Inch Frameless Android Smart 4K LED TV-Black+WALLMOUNT - One Year,"₦ 488,880","₦ 578,965",4.3
"UFC 43” Inches FRAMELESS Smart TV+Netflix,Youtube +WALL HANGER","₦ 218,290","₦ 745,000",4.4
Hisense 50'' Inches Smart UHD 4K TV (A6K) - Black +1 Year Warranty,"₦ 505,264","₦ 559,453",4.7
"UFC 43” Inches FRAMELESS Smart TV+Netflix,Youtube +WALL HANGER","₦ 218,290","₦ 945,000",4.1
PowMr 20A MPPT Solar Charger Controller 12V 24V 60Vdc,"₦ 42,860","₦ 52,326",4.4
Amani 43'' Inches Smart TV With Strong Screen + FREE Gift Inside( Amani),"₦ 233,490","₦ 234,890",3.9
"Mi+ 32"" Inches FHD TV (MI32D02A) + 12 Months Warranty - Black","₦ 108,994","₦ 182,767",4.2
UFC 55 Inch 4K Ultra-HD Smart Freamless Android TV+ FREE WALL HANGER,"₦ 491,990",No old_price,4.3
Gstar 32 Inches TV HD LED Television + 1 Years Warranty,"₦ 2,000,000",No old_price,5
Polystar FULL HD 24-Inch Tv,"₦ 90,000","₦ 190,000",4.1
Amani 50”Inch Android Smart Full HD LED AMANI TV Promo Price,"₦ 353,490","₦ 1,270,000",3.7
UFC ''55 Inch 4K Ultra-HD Smart FRAMELESS Smart TV+ Netflix YouTube + WALL HANGER,"₦ 491,990","₦ 790,000",4
PowMr 30A MPPT Solar Charger Controller 12V 24V 75Vdc,"₦ 69,388","₦ 97,997",4.4
Nexus 43 Inch Smart Frameless LED TV( NX-TV43F621B),"₦ 298,915","₦ 321,334",3.7
Amani 43”UHD ANDROID SmartTV Netflix YouTube Apps Free Gift Inside,"₦ 233,990","₦ 1,257,890",3.8
Polystar FULL HD 24-Inch Tv,"₦ 105,000",No old_price,No rating
"Vision 43'' UHD Smart 4K TV+Netflix,Youtube,Magic Remote (vision)","₦ 233,490","₦ 320,000",3.7
"MK 19"" INCH Full HD LED TV","₦ 90,000","₦ 125,000",No rating
"Mi+ 43"" Inches FHD TV (MI43FZ08A) - Black + 1 Year Warranty","₦ 213,325","₦ 308,082",3.7
UFC 43” Inches 4k UHD ANDROID Smart TV Clear View,"₦ 318,290",No old_price,4.4
PowMr Battery Equalizer For 2x12V Batteries Battery Balancer,"₦ 17,827","₦ 26,318",3.9
LG Powerful DVD Player Dv 505 With Last Memory-PERFECT,"₦ 21,900","₦ 22,000",No rating
"Google Chromecast 4K Streaming Device With Remote, HDMI Port","₦ 139,999","₦ 180,000",4.7
PowMr Battery Equalizer For 4x12V Batteries Battery Balancer,"₦ 49,968","₦ 60,738",3.7
"itel A3250 Advanced 32"" LED TV","₦ 159,500","₦ 165,000",No rating
"MK 32"" INCH Full HD LED TV","₦ 125,500","₦ 185,000",No rating
Satlink Digital Satellite Meter Finder With Compass WS-6933,"₦ 68,000","₦ 84,000",5
MK 19 Inches Full HD LED TV,"₦ 90,500","₦ 115,000",No rating
3.5mm Jack Plug Audio Splitter Distributor Headphone White,"₦ 2,262","₦ 3,393",4.6
Toshiba 32''Smart TV + Netflix,"₦ 229,990","₦ 291,000",4.4
itel 32 Inches LED Tv (A3241) - Black,"₦ 93,500","₦ 100,513",5
Sonix 43 Inches  Super HD Android Smart Frameless TV + Wall Hanger,"₦ 223,095","₦ 223,161",4.2
"Amani 55"" Inch SMART UHD 4K  TV","₦ 442,318","₦ 1,290,000",4.2
Onn Google TV 4K Streaming Box 2023,"₦ 72,400",No old_price,5
"Hikers - 24” HD Digital LED TV - Black, 1YR WRTY","₦ 89,900","₦ 250,000",No rating
Tornado 32 Inch HD LED TV With Built-In Receiver  +2 Years Warranty,"₦ 119,999","₦ 199,900",4
Samsung 32 Inch Flat Slim LED / TV,"₦ 200,000","₦ 360,000",4.2
