Name,Discount_price,Actual_price,Rating_stars
Hp  Stream 11 Pro Intel Celeron 4GB RAM- 64GB HDD WIN 10+ Usb Light,"₦ 145,000","₦ 235,000",3.3
"DELL Refurbished Dell Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM","₦ 262,000","₦ 600,000",3.6
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 520,000","₦ 990,000",4.6
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 614,260","₦ 870,900",3.9
"Hp PROBOOK 450G6 8TH GEN INTEL CORE I5 8GB RAM 256GB SSD,KEYBOARD LITE, WINDOWS 11PRO","₦ 760,000",No old_price,5
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 755,000","₦ 990,000",4.3
"Apple MacBook Pro 14.2"" 8‑core CPU/10‑core 8GB/1TB M3 Chip  - Silver 2023","₦ 2,999,999","₦ 9,999,999",No rating
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-512GB SSD-Win 10 Pro","₦ 1,148,000","₦ 1,198,000",5
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 1,185,000","₦ 1,238,000",No rating
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-256GB SSD-Black","₦ 958,000","₦ 1,068,000",No rating
Hp PRO ONE 400 G4 COREI5 8GB RAM,"₦ 720,000",No old_price,No rating
Apple MacBook Pro 14″ 18GB/1TB 18 Core M3 Pro Chip - Silver,"₦ 3,800,999","₦ 6,999,999",No rating
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro","₦ 880,000","₦ 898,000",4
"Power Plus 1,300,000,000mw Ultra Massive Laptop Power Bank","₦ 350,550 - ₦ 429,000","₦ 578,000",3.5
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 8GB RAM/512GB SSD Win 11 Pro,"₦ 605,000",No old_price,3.6
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 650,000","₦ 770,900",4.3
"DELL Latitude 3310 11Th Gen Intel®️ Core™️ I5-Quad Core 256GB SSD 8GB RAM 13.3""WIN10 Pro","₦ 850,000","₦ 890,000",No rating
"15.6"" Laptop J4125 8GB+256GB SSD Student Portable Computer","₦ 215,563","₦ 386,400",5
"Hp EliteBook 840 G8  - Core I5-1135G7- 14"" - 512GB SSD-16B RAM","₦ 900,000","₦ 1,500,000",No rating
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 925,000","₦ 978,000",No rating
