Name,Discount_price,Actual_price,Rating_stars
GT31 Cell Phones Semiconductor Cooler,"₦ 18,000","₦ 22,000",3.3
Universal Plastic Foldable Mobile Phone Tablet Holder Stand X2,"₦ 5,700","₦ 8,000",No rating
S9 Pro Smartwatch,"₦ 22,500","₦ 28,000",5
I20 Ultra Suit Smart Watch With 10 In1 High Quality Straps,"₦ 38,500","₦ 48,000",4.4
Ultra 2 Smart Watch With 7in1 High Quality Straps,"₦ 26,500","₦ 38,000",3.7
3 In 1 Phone Holder With Bluetooth Speaker And Powerbank And Free Keyholder,"₦ 15,999","₦ 20,000",5
For Vivo X70 Pro High Quality Replacement Back Rear Camera Lens Gl For Vivo X70 Pro Plus Test Good Parts X 70 Pro,"₦ 36,957","₦ 62,825",No rating
ULTRA 9 SMART WATCH ALL IN ONE,"₦ 38,500","₦ 48,000",4
Oraimo Magsafe Wireless Magnetic Power Bank,"₦ 75,450","₦ 79,000",5
I8 Ultra Combo Smart Watch BIGGER SCREEN 2.0,"₦ 21,500","₦ 26,500",No rating
Ultra 8 Smart Watch With 7in1 High Quality Straps,"₦ 26,500","₦ 38,000",1
Fitpro T55 Pro Max Smart Watch Series 8,"₦ 20,500","₦ 22,000",3.8
Oraimo Airbuds3 Mini Size But Mighty Sound,"₦ 45,500","₦ 46,000",No rating
Charging Port Board Replacement For Ulefone Armor 8 X8 7 7e 9 9e X5 Pro Usb Charging Dock Repair Part,"₦ 39,045","₦ 66,383",No rating
H20 Smart Watch  10in1,"₦ 38,500","₦ 46,000",5
Factory Unlocked For Iphone 4 4s 5s 6 6 Plus 6s 6s Plus 7 7 Plus 8 Motherboard Without Touch Id Support Os Update With Chips,"₦ 55,127","₦ 93,720",No rating
I20Ultra Smart Watch With 10in1 High Quality Straps,"₦ 38,500","₦ 46,000",No rating
S9 Pro Smartwatch,"₦ 22,500","₦ 28,000",No rating
Ultra 8 Smart Watch With 7in1 High Quality Straps,"₦ 26,500","₦ 38,000",3
1/4Pcs Mobile Screen Separator Adjustable Alloy Clip Fixture Clamp Phone Repair Tools LCD Display Clip For / /,"₦ 50,610","₦ 86,051",No rating
Wireless Qi Charger Stand Pad For IPhone And Android,"₦ 18,000",No old_price,No rating
Fitpro T55 Pro Max Smart Watch,"₦ 21,000","₦ 28,000",No rating
Oraimo Electric Specialized Oral Care Toothbrush,"₦ 74,500","₦ 75,000",No rating
I8 Ultra Combo Smart Watch BIGGER SCREEN 2.0,"₦ 21,500","₦ 26,500",5
Low Price Motherboard For Iphone 5s 100% Unlocked Mainboard Ios Installed Logic Board Without Touch Id 16gb 32gb 64gb,"₦ 93,153","₦ 158,366",No rating
PORTABLE MINI LED HOME PROJECTOR 1080p THAT CONNECT TO PHONE DIRECTLY USING DATA CABLE ONLY IT WORKS WITH ANDROID AND IOS DEVICES,"₦ 55,900","₦ 60,000",No rating
Fitpro T55 Pro Max Smart Watch Series 8,"₦ 18,500","₦ 22,000",2.5
P9 PRO MAX Tws Strong Bass Wireless Bluetooth Headsets,"₦ 41,391","₦ 58,712",No rating
New 1pc Portable 3.5mm Mini Network Card External Antenna Strength Signal Cellular Booster Hot Phone Amplifier Signal Mobile,"₦ 36,039","₦ 61,272",No rating
Zealot S67 Portable 60W Wireless Bluetooth Speaker,"₦ 89,500","₦ 90,000",4.5
Fashion New Three-piece Backpack for Boys and Girls High School Students Schoolbag College Student Backpack Trendy Large Capacity Computer Bag,"₦ 9,169 - ₦ 22,648",No old_price,No rating
Free Icloud For Iphone 6 6plus 6s 6splus Factory Unlocked Motherboard 16gb 64gb 128gb Without Touch Id Logic Board,"₦ 85,103","₦ 144,672",No rating
