Name,Discount_price,Old_price,Rating_stars
Professional Live Stream With Cell Phone Selfie Holder.,"₦ 18,050",,No rating
Selfie Ring Light With Phone Holder Stand For Live Stream,"₦ 18,050",,No rating
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 2,490",,4
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 2,490",,4
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 2,490",,4.1
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 2,490",,4.1
Koocu Small Size Silicone Work Mat Soldering Station Mat Heat Resistant 932°F Anti-Static Magnetic Mat For Electronic Phone Laptop Watch Repair,"₦ 14,000",,4.7
Universal Breathable Thin Mobile Gaming  With Finger Covers,"₦ 4,618",,No rating
Folding 3D Mobile Phone Screen Enlarge Magnifier High-Black,"₦ 7,515",,No rating
Cooler GT31 Semiconductor Magnetic Phone Cooler.,"₦ 17,980",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 13,745",,1
Travel Portable Digital Accessory Organiser,"₦ 9,800",,No rating
Phonix Rechargeable Phone Cooler Mobile Phone Refrigeration,"₦ 17,850",,No rating
1 Set Headset Case with Hanging Circle Bluetooth-compatible Earbuds Case Black,"₦ 4,158",,No rating
GT31 Mobile Phone Cooling Fan,"₦ 22,500",,No rating
Wall Mounted Phone Charging Organizer/Remote Control Holder,"₦ 3,799",,5
Universal Breathable Thin Mobile Gaming  With Finger Covers,"₦ 4,618",,No rating
Replacement SIM Card Holder Slot Tray-Black For IPhone 8,"₦ 1,670",,No rating
5-in-1 Barbing Kit-Bag Hair&PowderBrushBarbingCapeAftershave,"₦ 5,600",,No rating
2023 Pro 12 Tablet Android  Pad-Blue,"₦ 186,000",,No rating
Mobil 1 5 L- American 5W-30 Extended Performance Ultimate Full Synthetic Engine Oil,"₦ 80,000",,No rating
WiFi Plus Universal 4G/5G LTE Pocket Wifi Mobile Mifi Hotspot Router,"₦ 32,000",,3.5
Lightning USB Cable For IPhone X,"₦ 2,500",,No rating
K9 Wireless Bluetooth Lapel Lavalier Microphones - 2 MINI MICS,"₦ 17,500",,No rating
Phone Bluetooth Shutter Remote For IOS And Android,"₦ 3,200",,No rating
Oraimo Orai*mo Smart Clipper 2 Professional Hair Clippers,"₦ 47,000",,No rating
Pouch Waterproof Case For IPhone Series Upward,"₦ 13,000",,No rating
1 Horse Power Surface Water Pumping Machine +100 % Corper Coil,"₦ 90,000",,No rating
Table Flexible Ringlight,"₦ 20,000",,No rating
FS01 Mobile Phone Rechargeable Fan,"₦ 29,500",,No rating
Original Fast Charger USB Data Cable For IPhone X/8/8,"₦ 4,000",,No rating
Portable Multi Band U Shaped Finger Ring Holder Mobile-White,"₦ 2,789",,No rating
New Age Strong Power Bank,"₦ 17,000",,No rating
"Fast Charger USB Data Cable For IPhone X/8/8Plus/7/7Plus/6s/6sPlus/6/6Plus/SE/5s/5, IPad 4.","₦ 3,500",,No rating
5Pcs Mini Anti-dust Silicone Micro-USB Phone Charger-Black,"₦ 1,670",,No rating
Oraimo Oraiimo Smart-Clipper 2 Gold DiamonBlade Cordless Hair Clipper,"₦ 65,000",,No rating
New Age Strong Power Bank,"₦ 17,000",,No rating
Beldray Airgility Plus Cordless Multi-Surface Vacuum Cleaner,"₦ 180,000",,No rating
Oraimo Smart-Clipper  Plus,"₦ 42,900",,No rating
Sokany Facial & Fabric Garment Steamer,"₦ 23,000",,No rating
Folding 3D Mobile Phone Screen Enlarge Magnifier High-Black,"₦ 7,515",,No rating
6pcs Memory Foam Ear Tips Headphone Sponge Headphone Noise,"₦ 2,400",,No rating
GT31 Mobile Phone Cooling Fan,"₦ 22,500",,No rating
Phone Fish Eye Lens HDcompatible Professional 3 In 1 10X Macro Wide Angle 4K Phone Camera Lens For Taking PhotosBlack,"₦ 5,179",,No rating
Replacement SIM Card Holder Slot Tray-Silver For IPhone X,"₦ 1,670",,5
Universal Breathable Thin Mobile Gaming  With Finger Covers,"₦ 4,618",,No rating
Portable 2-in-1 USB3.0 To TYPE-C OTG Adapter Data-Silver,"₦ 1,670",,No rating
Replacement SIM Card Holder Slot Tray-Black For IPhone 8,"₦ 1,670",,No rating
Bee Single Row Chain Metal Band for i Watch - Compatible with i Watch Series 1-9 and SE-Black,"₦ 15,939",,No rating
5-in-1 Barbing Kit-Bag Hair&PowderBrushBarbingCapeAftershave,"₦ 5,600",,No rating
Mobil 1 5 L- American 5W-30 Extended Performance Ultimate Full Synthetic Engine Oil,"₦ 80,000",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerPink,"₦ 1,599",,No rating
Phone Holder Magnetic Phone Card Holder Sticker Mount Black,"₦ 3,034",,No rating
"MEMO Heatsink Aluminum Chamber,Gaming Cooler For Mobile Phone,cooling USB FAN","₦ 7,061",,No rating
USB Rechargeable Mobile Phone Game Cooler Cooling Fan Radiator,"₦ 7,830",,No rating
Finger Ring Phone Holder 360 Degree Rotatable Strong Adhesiveness Universal Mini Rhinestone Finger Ring Phone Back Sticker Pad Bracket For Outdoor,"₦ 1,025",,No rating
Finger Ring Phone Holder 360 Degree Rotatable Strong Adhesiveness Universal Mini Rhinestone Finger Ring Phone Back Sticker Pad Bracket For Outdoor,₦ 991,,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
TF Hybrid Sim Slot Dual SIM Card Adapter Micro SD Extender,"₦ 2,913",,No rating
Nia Superb Sound Wireless Headphone 4 In 1,"₦ 15,570",,No rating
