Name,Discount_price,Old_price,Rating_stars
USB 2.0 To USB 2.0 Adapter With OTG Function,₦ 397,,4.5
8pin Charging & Earphone 2 In 1 Adapter For Iphone,"₦ 4,274",,No rating
Anker 735 Fast Charger (GaNPrime 65W) Three-Port USB C,"₦ 148,550",,No rating
Anker Wall Charger 20 Watt PD Port - White - USB-C,"₦ 14,900",,5
ESR USB C DAC Adapter 2 In 1 Type C To 3.5 Earphone Adapter Audio Type-c To Earphone 3mm Jack AUX Usb C 3.5 For Samsung Usbc 3 5-TypeC To 3.5mm 1 Pcs,"₦ 4,000",,No rating
itel 27000mAh Powerbank With 22.5W Fast Charging Powerbank,"₦ 28,499",,No rating
5000MAH Digital Powerbank And Holder For I-phone And Type -C,"₦ 14,440",,No rating
Oraimo Charger For Smart Watch Magnetic Charging Cable,"₦ 2,550",,No rating
MIJIA 120W Ultra Fast Charger 6A Type-C Turbo Charging Cable For 14 13 12 Redmi Note 12T 13 Pro X5,"₦ 21,648",,No rating
Ld System Ldnio Aw004 Desktop 32W Wireless Charger,"₦ 25,700",,5
Basues Baseus 7-IN-1  Multifunctional Type-c HUB Docking Station,"₦ 64,000",,No rating
Jio Universal 5G LTE Pocket Wifi Mobile Mifi Hotspot Router,"₦ 27,500",,No rating
For Cubot X30 C30 Note 7 P20 P30 P40 Power R15 R15 Pro X19,"₦ 30,245",,No rating
IRig Guitar Interface,"₦ 7,000",,4.7
Type Z 50W PD Adapter Iphone Charger Head 2 USB C Adapter For IPhone 15/14/13/12/11/XR/ Pro Max,"₦ 5,000",,No rating
Oraimo Super 27000mah Massive Power Charging Bank Traveller,"₦ 38,500",,5
SanDisk 32GB 95MB/s Extreme Pro UHS-I SDHC Memory Cards (SDSDXXG-032G),"₦ 13,000",,5
Oraimo 20000mAh 15W Power Bank Type-C Input & Output,"₦ 19,949",,No rating
Samsung  25 Watts Galaxy Super Fast Charging Adaptive(type C - Type C),"₦ 5,990",,No rating
Oraimo 10000mah  Fast Charging PowerBank With Inbuilt Cable,"₦ 12,825",,No rating
Base Baseus GAN5 Mini Fast Charger 1c 20w,"₦ 20,000",,No rating
Noice Reduction J13 IPhone Double Wireless Microphone With Charging Pin Recording Mini Mic For IPhone Type C Android  Live Broadcast,"₦ 32,000",,No rating
New Age 33000mah 22.5w Fast Charge Powerbank,"₦ 30,400",,No rating
Massive 60w Type C- To -Type C Fast Charger For IPhone 15 Pro Max,"₦ 13,570",,5
IRig Guitar Interface,"₦ 12,000",,No rating
Basesus Baseus 8-in-1 Multifunctional  Type-C HUB Docking Station,"₦ 80,000",,No rating
3D Enlarged Screen Mobile Phone Amplifier / Magnifier,"₦ 5,000",,No rating
Noice Reduction J13 IPhone Double Wireless Microphone With Charging Pin Recording Mini Mic For IPhone Live Broadcast Phone Lapel Microphone,"₦ 35,000",,No rating
SHPLUS 9A 3 In 1 Fast Charger Cable,"₦ 3,781",,No rating
Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 18,049",,No rating
Oraimo 20000mAh 15W Power Bank Type-C Input & Output,"₦ 19,949",,No rating
Type C To 3.5mm Aux Audio Jack Adapter For Smartphones,"₦ 3,499",,No rating
Oraimo 27000mAh 15W Fast Charging Powerbank,"₦ 25,650",,No rating
LONIO 20000Amh Superior Power Bank Saver,"₦ 51,500",,4
New Age 33000mah 22.5w Fast Charging Powerbank With Torchlight,"₦ 32,000",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,000",,No rating
Stone Stobe 20000mah Fast Charging Powerbank,"₦ 18,049",,No rating
Ldnio  A3511Q 65W Type C Faster Plug Charger,"₦ 30,000",,No rating
Ldnio Fast Desktop Charger 4 Ports 100w 150cm,"₦ 58,000",,No rating
For Nokia 1 2 3 5 6 8 3.1 6.1 7.1 5.1 8.1 2.1 3.2 4.2 Plus,"₦ 11,043",,No rating
Base Baseus GAN5 Mini Fast Charger 1c 20w,"₦ 20,000",,No rating
USB-C / Type-C to USB 2.0 OTG Plastic Adapter,₦ 869,,No rating
DS-TC-IP15 iOS 8 Pin Cable Female to USB-C / Type-C Male Adapter,"₦ 6,894",,No rating
For Coque Iphone 11 I Phone11 Pro Max Paillette Shiny Case,"₦ 50,504",,No rating
Massive 60w Type C- To -Type C Fast Charger For IPhone 15 Pro Max,"₦ 13,570",,5
"Enkay ENKAY Hat-Prince HC-8 Mini ABS USB 2.0 Female To USB-C / Type-C 3.1 Male Port Connector OTG Adapter, For Samsung Galaxy S8 & S8 + / LG G6 / Huawei P10 & P10 Plus / Xiaomi Mi6 & Max 2 And Other Smartphones(Black)","₦ 22,950",,No rating
3D Enlarged Screen Mobile Phone Amplifier / Magnifier,"₦ 5,000",,No rating
