Name,Discount_price,Actual_price,Rating_stars
itel TWS BudsAir Pro Earphones Earbuds Bluetooth5.4 ENC Black,"₦ 12,200","₦ 25,000",4.3
Bluetooth Selfie Stick Tripod + Fill Light +Shutter Remote,"₦ 4,810","₦ 5,990",3.6
XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Dreamy Purple,"₦ 155,320","₦ 350,000",4.3
GUIXIA  A4 Tws Wireless Bluetooth Headsets Earphones,"₦ 4,624","₦ 5,998",3.6
"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black","₦ 123,092","₦ 200,000",4.5
itel BudsAce TWS Super Bass Bluetooth 5.3 Touch Control Earbuds,"₦ 11,600","₦ 15,000",4.3
"itel 20000mAh Fast Charging, Bright Torch Power Bank + Free Fast Charger","₦ 18,750","₦ 25,000",4
P9 Wireless Bluetooth Headset Noise Reduction Earphone Black,"₦ 6,204","₦ 12,657",3.9
X52 Mobile Phone Cooler Rechargeable Fast Cooling,"₦ 8,060","₦ 16,040",4.2
TiLECC M10 Wireless Bluetooth Earphones Waterproof LED Dispay Headset Hifi Stereo,"₦ 5,594","₦ 11,056",3.4
TiLECC F9 Fingerprint Touch Bluetooth Earphone Earbuds 2200mAH,"₦ 5,801","₦ 11,267",3.5
"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue","₦ 132,785","₦ 250,000",3.9
"Nokia 105_African Edition, 1.77"" 4MB/4MB, 800 MAh, Dual Sim - Blue","₦ 14,400","₦ 20,000",4
itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,"₦ 125,000","₦ 277,500",4.4
"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black","₦ 156,190","₦ 200,000",4.3
GUIXIA  Air31 Wireless Bluetooth 5.3 In Ear Transparent Earphones,"₦ 4,999","₦ 6,138",3.8
Samsung CHARGER 45W SUPER FAST CHARGER ADAPTIVE CHARGING FOR NOTE 20 Ultra S20 S21 S22 S23 Ultra Type-C To Type-C,"₦ 5,990","₦ 6,500",3.8
EAGEAT F9 Wireless Headset Bluetooth Earphone True Bass,"₦ 4,900","₦ 4,999",3.9
itel Water Proof ISW-011 Native Storm Smart Watch - Blue,"₦ 15,280","₦ 40,000",4.3
TiLECC T800 Smart Watch Ultra 8 Door Access  Smartwatch Series 8,"₦ 10,504","₦ 19,590",3.6
F9 Fingerprint Touch Bluetooth Earphone Earbuds 2600mAh,"₦ 4,568","₦ 9,600",3.7
Infinix Buds Lite XE23 ENC Wireless Earbuds  Powerful Sound,"₦ 9,900","₦ 25,000",3.9
TiLECC Uitra 8 Smart Watch Dual Band 2-in-1 With Bluetooth Headset,"₦ 15,603","₦ 23,442",3.4
Adjustable Phone Stand 0041,"₦ 2,990","₦ 5,000",4.1
TiLECC T900 Ultra2 Smart Watch 2.19-inch High Bluetooth Call Intelligent IP67 Waterproof-black,"₦ 12,050","₦ 22,538",3.8
"itel 10000mAh Fast Charging,STAR100 Mobile Power Charge Bank","₦ 9,500","₦ 13,592",3.9
XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Starry Blue,"₦ 139,000","₦ 500,000",4.6
PRO60 Wireless Earbuds In-Ear BT Earphones Sport Earbuds,"₦ 9,360","₦ 17,780",3.8
itel 20000mAh  Mobile Power Charge Bank + ICW-051U 5W Charger,"₦ 17,578","₦ 24,000",4
itel 20000mAh  Mobile Power Charge Bank,"₦ 17,460","₦ 19,342",4.1
"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - White","₦ 105,210","₦ 150,000",4.2
P47 5.0 Super Wireless Bluetooth Stereo Foldable Headphone-black,"₦ 4,655","₦ 12,000",3.5
EAGEAT F9 Bluetooth Headset Headphones Fingerprint Touch,"₦ 4,624","₦ 5,499",3.9
XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 174,320","₦ 400,000",4.1
"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal","₦ 14,400","₦ 20,000",4.2
TiLECC T900 Ultra2 Smart Watch 2.19-inch High Bluetooth Call Intelligent IP67 Waterproof,"₦ 10,504","₦ 23,553",3.7
F9 Fingerprint Touch Bluetooth Earphone Earbuds LED 2200mAH,"₦ 4,559","₦ 7,157",3.8
EAGEAT Two-in-one T55 Smart Watch Bluetooth Headset,"₦ 13,999","₦ 14,999",3.2
Oraimo 10000mAh Power-Bank 2.1A For 2 Device Same Time  OPB-P110DN,"₦ 15,690","₦ 25,690",3.8
GUIXIA  Tws Wireless Bluetooth Headsets Earphones I12,"₦ 3,639","₦ 5,533",3.4
GUIXIA  Tws Wireless Bluetooth Headsets Earphones I12,"₦ 3,639","₦ 5,533",3.4
EAGEAT Phone Stand Adjustable Swivel  Desktop Metal Tablet Stand,"₦ 2,899","₦ 3,999",4.2
itel 1.83'' Sones Smart Watch Native Storm Water Proof (ISW-O11)-Blue,"₦ 17,800","₦ 50,000",4.2
DCQ D1 Power Banks 10000MAh Utra Slim Portable Fast Charger,"₦ 6,000","₦ 8,084",3.7
F9 Fingerprint Touch Bluetooth Earphone Earbuds 2200mAH,"₦ 4,512","₦ 9,549",3.8
"Tecno Pop 9 6.67"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 142,990","₦ 199,999",4.1
"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey","₦ 121,164","₦ 150,000",4.2
itel PowerPulseA1481 PowerBank27000mAh 22.5W Fast Charging Type-C+18W Charger,"₦ 28,000","₦ 45,900",4.3
XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Midnight Black,"₦ 138,320","₦ 300,000",4.4
